	0	36	37	39	40	41	42	43	44	45	47	58	59	60	61	62	123	125	256	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	3	4	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
3	5	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
4	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	6	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	7	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
7	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	8	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
8	99	99	99	99	9	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
9	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	10	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	99	99	99	11	99	99	99	99	99	99	99	99	99	99	99	99	99	99
10	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11	99	99	99	99	99	12	99	99	13	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
12	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	14	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
13	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	15	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
14	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	99	99	99	99	16	99	99	99	99	99	99	99	99	99	99	99	99	99
15	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
16	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	18	99	99	99	99	99	99	99	17	99	99	99	99	99	99	99	99		99	99	99	99	99	99	99	99	99	99	19	99	99	99	99	99	99	99	99	99	99	99
17	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	10	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	99	99	99	20	99	99	99	99	99	99	99	99	99	99	99	99	99	99
18	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	18	99	99	99	99	21	99	99	99	99	99	22	23	24	99	99	99	99	99	99	99	99	99	99	99	99	99	99	25	26	27	28	99	99	99	99	99	99	99	99
19	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	29	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
20	99	99	99	99	99	99	99	99	13	99	99	30	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
21	99	99	99	99	99	99	99	99	99	99	99	99	99	99	31	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
22	99	99	99	99	32	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
23	99	99	99	99	33	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
24	99	99	99	99	34	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
25	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
26	99	99	99	99	99	99	99	99	99	99	99	99	36	99	99	99	99	35	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
27	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
28	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
29	99	37	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
30	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	38	39	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	40	99	99	99	99	99	99	99	99	99	99	99	99
